,customer_id,final_cluster
356,23036,Fake Vegetarians
357,33400,Millenials
358,27657,Petters
359,44933,Fake Vegetarians
360,36428,Misers
361,16946,Gamer Parents
362,35063,Settled Techies
363,24769,Gamer Parents
364,44224,Settled Techies
365,25739,Fake Vegetarians
366,44391,Fake Vegetarians
367,10577,Karens
368,22042,Youngsters
369,6631,Settled Techies
370,47640,Misers
371,39194,Fake Vegetarians
372,21170,Petters
373,45863,Gamer Parents
374,39079,Fake Vegetarians
375,28363,Fake Vegetarians
376,5406,Misers
377,5608,Misers
378,43608,Gamer Parents
379,671,Fake Vegetarians
380,24233,Millenials
381,14485,Settled Techies
382,30564,Fake Vegetarians
383,12023,Gamer Parents
384,2522,Misers
385,26021,Fake Vegetarians
386,22850,Petters
387,12820,Settled Techies
388,5987,Fake Vegetarians
389,25084,Settled Techies
390,36405,Karens
391,30240,Misers
392,16069,Millenials
393,45259,Fake Vegetarians
394,17146,Karens
395,34458,Misers
396,3436,Petters
397,33292,Misers
398,6992,Misers
399,38492,Millenials
400,26860,Gamer Parents
401,19192,Misers
402,20367,Local Folks
403,8703,Misers
404,41183,Fake Vegetarians
405,45227,Gamer Parents
406,15452,Millenials
407,31679,Local Folks
408,10199,Petters
409,22376,Local Folks
410,12971,Petters
411,5641,Karens
412,32102,Gamer Parents
413,34800,Gamer Parents
414,36923,Millenials
415,3405,Settled Techies
416,46369,Settled Techies
417,198,Misers
418,35098,Karens
419,15871,Fake Vegetarians
420,4177,Fake Vegetarians
421,13948,Local Folks
422,46803,Misers
423,11930,Settled Techies
424,1714,Local Folks
425,28762,Millenials
426,35113,Gamer Parents
427,36693,Local Folks
428,12049,Karens
429,13065,Fake Vegetarians
430,11720,Local Folks
431,41057,Balanced Parents
432,18713,Fake Vegetarians
433,36483,Local Folks
434,37986,Settled Techies
435,8080,Fake Vegetarians
436,30987,Karens
437,35982,Fake Vegetarians
438,43959,Local Folks
439,37719,Balanced Parents
440,18802,Gamer Parents
441,4375,Karens
442,12573,Fake Vegetarians
443,29531,Gamer Parents
444,15235,Fake Vegetarians
445,2902,Petters
446,7269,Fake Vegetarians
447,44724,Misers
448,27263,Fake Vegetarians
449,17246,Misers
450,25549,Petters
451,43151,Gamer Parents
452,29662,Misers
453,33166,Gamer Parents
454,2803,Gamer Parents
455,45907,Settled Techies
456,9242,Karens
457,27355,Karens
458,887,Fake Vegetarians
459,25747,Karens
460,19852,Youngsters
461,46939,Settled Techies
462,27533,Fake Vegetarians
463,42980,Petters
464,12934,Fake Vegetarians
465,154,Settled Techies
466,19334,Local Folks
467,14022,Petters
468,25516,Misers
469,46588,Gamer Parents
470,9922,Fake Vegetarians
471,6005,Petters
472,2423,Gamer Parents
473,22522,Fake Vegetarians
474,15685,Settled Techies
475,44350,Balanced Parents
476,36625,Karens
477,18709,Settled Techies
478,39297,Fake Vegetarians
479,39494,Gamer Parents
480,8368,Misers
481,16299,Local Folks
482,27799,Karens
483,36846,Settled Techies
484,46770,Settled Techies
485,47535,Millenials
486,25466,Misers
487,41971,Settled Techies
488,3038,Petters
489,12719,Millenials
490,38430,Petters
491,37942,Karens
492,36306,Misers
493,16024,Karens
494,40473,Fake Vegetarians
495,39686,Misers
496,21157,Karens
497,34757,Karens
498,22979,Gamer Parents
499,16810,Local Folks
500,36746,Petters
501,48008,Settled Techies
502,48276,Balanced Parents
503,10305,Fake Vegetarians
504,35954,Gamer Parents
505,40825,Karens
506,19897,Fake Vegetarians
507,220,Karens
508,46736,Balanced Parents
509,30326,Millenials
510,24612,Misers
511,46644,Petters
512,15052,Balanced Parents
513,27800,Local Folks
514,37835,Youngsters
515,14044,Misers
516,42927,Misers
517,32746,Misers
518,31174,Karens
519,19123,Fake Vegetarians
520,12773,Gamer Parents
521,1933,Millenials
522,36451,Fake Vegetarians
523,41019,Settled Techies
524,12352,Misers
525,2796,Fake Vegetarians
526,49097,Fake Vegetarians
527,22525,Settled Techies
528,45831,Balanced Parents
529,22029,Local Folks
530,31462,Settled Techies
531,2947,Karens
532,9681,Settled Techies
533,19397,Fake Vegetarians
534,658,Local Folks
535,40840,Balanced Parents
536,38488,Local Folks
537,5272,Balanced Parents
538,41927,Fake Vegetarians
539,13136,Gamer Parents
540,29676,Petters
541,35654,Fake Vegetarians
542,21231,Misers
543,28833,Misers
544,49329,Balanced Parents
545,14451,Fake Vegetarians
546,17900,Gamer Parents
547,27107,Millenials
548,48072,Gamer Parents
549,34535,Local Folks
550,28866,Gamer Parents
551,6122,Misers
552,5362,Misers
553,11783,Petters
554,2705,Misers
555,9609,Millenials
556,25207,Settled Techies
557,44218,Petters
558,24872,Fake Vegetarians
559,40628,Local Folks
560,21785,Fake Vegetarians
561,13343,Youngsters
562,25376,Fake Vegetarians
563,16976,Misers
564,45080,Settled Techies
565,8189,Youngsters
566,4327,Misers
567,48823,Settled Techies
568,7011,Fake Vegetarians
569,28826,Settled Techies
570,37796,Settled Techies
571,41076,Stingy Pescatarians
572,17570,Millenials
573,14813,Karens
574,44379,Youngsters
575,10405,Misers
576,32660,Settled Techies
577,21320,Misers
578,8578,Gamer Parents
579,1433,Fake Vegetarians
580,32404,Fake Vegetarians
581,45046,Karens
582,6492,Local Folks
583,29630,Fake Vegetarians
584,3152,Local Folks
585,15950,Fake Vegetarians
586,24647,Misers
587,27313,Settled Techies
588,15121,Petters
589,38269,Youngsters
590,47798,Fake Vegetarians
591,8323,Millenials
592,25522,Fake Vegetarians
593,23882,Petters
594,5831,Fake Vegetarians
595,37087,Gamer Parents
596,38390,Settled Techies
597,43863,Millenials
598,7430,Fake Vegetarians
599,37258,Fake Vegetarians
600,23927,Fake Vegetarians
601,48961,Fake Vegetarians
602,13383,Petters
603,6155,Karens
604,49556,Settled Techies
605,23111,Local Folks
606,42486,Settled Techies
607,48673,Settled Techies
608,13688,Youngsters
609,7476,Karens
610,19801,Millenials
611,7026,Petters
612,36790,Karens
613,40270,Misers
614,1018,Misers
615,16445,Karens
616,27287,Karens
617,15449,Petters
618,1800,Fake Vegetarians
619,37484,Millenials
620,32818,Fake Vegetarians
621,6126,Fake Vegetarians
622,9795,Balanced Parents
623,25767,Karens
624,38400,Local Folks
625,29671,Karens
626,17380,Local Folks
627,31659,Misers
628,3809,Settled Techies
629,39393,Local Folks
630,28020,Fake Vegetarians
631,8249,Petters
632,25094,Karens
633,7648,Gamer Parents
634,41574,Gamer Parents
635,17703,Gamer Parents
636,43450,Local Folks
637,13318,Gamer Parents
638,41032,Fake Vegetarians
639,43301,Settled Techies
640,11902,Fake Vegetarians
641,34609,Settled Techies
642,10270,Misers
643,18400,Gamer Parents
644,35868,Fake Vegetarians
645,3311,Settled Techies
646,34108,Petters
647,16772,Balanced Parents
648,42448,Settled Techies
649,17303,Petters
650,22718,Misers
651,49848,Gamer Parents
652,25127,Petters
653,34811,Local Folks
654,27463,Local Folks
655,31185,Fake Vegetarians
656,48358,Settled Techies
657,48520,Petters
658,15908,Gamer Parents
659,24211,Fake Vegetarians
660,6323,Fake Vegetarians
661,6287,Fake Vegetarians
662,9029,Gamer Parents
663,31261,Misers
664,30752,Petters
665,1297,Misers
666,27252,Karens
667,42385,Settled Techies
668,43120,Stingy Pescatarians
669,49025,Petters
670,20423,Fake Vegetarians
671,19002,Gamer Parents
672,11596,Petters
673,3832,Misers
674,44495,Gamer Parents
675,15044,Fake Vegetarians
676,8243,Fake Vegetarians
677,26667,Settled Techies
678,6756,Fake Vegetarians
679,49432,Petters
680,7162,Misers
681,5034,Millenials
682,22544,Fake Vegetarians
683,8850,Fake Vegetarians
684,26619,Karens
685,30780,Local Folks
686,7803,Fake Vegetarians
687,40008,Karens
688,44076,Settled Techies
689,41430,Local Folks
690,45844,Misers
691,16575,Gamer Parents
692,1335,Youngsters
693,17356,Settled Techies
694,42990,Settled Techies
695,38698,Settled Techies
696,16010,Settled Techies
697,14163,Karens
698,26464,Misers
699,11302,Settled Techies
700,41886,Settled Techies
701,27034,Gamer Parents
702,6811,Gamer Parents
703,48173,Local Folks
704,32719,Karens
705,39684,Gamer Parents
706,18586,Petters
707,20271,Misers
708,28361,Millenials
709,39528,Balanced Parents
710,27622,Petters
711,14562,Misers
712,4871,Fake Vegetarians
713,18003,Settled Techies
714,15474,Gamer Parents
715,15290,Gamer Parents
716,9276,Gamer Parents
717,30750,Karens
718,18528,Misers
719,33437,Fake Vegetarians
720,6150,Gamer Parents
721,5912,Balanced Parents
722,8380,Petters
723,35663,Balanced Parents
724,29931,Karens
725,34991,Balanced Parents
726,5586,Settled Techies
727,7545,Local Folks
728,35006,Misers
729,5248,Fake Vegetarians
730,11494,Settled Techies
731,19483,Karens
732,9598,Youngsters
733,49044,Settled Techies
734,21660,Settled Techies
735,35636,Settled Techies
736,27579,Misers
737,40771,Youngsters
738,30659,Gamer Parents
739,8007,Fake Vegetarians
740,17218,Petters
741,36544,Misers
742,31270,Fake Vegetarians
743,20445,Settled Techies
744,20178,Petters
745,39236,Settled Techies
746,33477,Settled Techies
747,28719,Karens
748,37264,Misers
749,22211,Gamer Parents
750,18539,Settled Techies
751,5508,Fake Vegetarians
752,34504,Fake Vegetarians
753,37713,Petters
754,46767,Youngsters
755,35398,Fake Vegetarians
756,12307,Karens
757,31384,Misers
758,22384,Fake Vegetarians
759,25390,Settled Techies
760,11311,Gamer Parents
761,47785,Fake Vegetarians
762,22340,Petters
763,31587,Fake Vegetarians
764,2430,Misers
765,48196,Settled Techies
766,49227,Youngsters
767,8701,Misers
768,5519,Balanced Parents
769,14429,Gamer Parents
770,36259,Balanced Parents
771,49137,Millenials
772,4835,Karens
773,12945,Misers
774,48013,Karens
775,20962,Local Folks
776,14721,Local Folks
777,34579,Misers
778,6716,Settled Techies
779,42886,Settled Techies
780,38398,Balanced Parents
781,26648,Karens
782,3741,Settled Techies
783,20204,Local Folks
784,9109,Settled Techies
785,47269,Balanced Parents
786,1477,Settled Techies
787,42128,Misers
788,7032,Local Folks
789,3647,Stingy Pescatarians
790,44483,Balanced Parents
791,39006,Settled Techies
792,48111,Petters
793,35959,Gamer Parents
794,11986,Misers
795,15324,Balanced Parents
796,27632,Fake Vegetarians
797,40099,Karens
798,17802,Misers
799,4608,Misers
800,16882,Misers
801,9083,Youngsters
802,42390,Millenials
803,35290,Gamer Parents
804,18255,Settled Techies
805,28105,Petters
806,20281,Settled Techies
807,3197,Fake Vegetarians
808,9637,Settled Techies
809,15736,Millenials
810,36935,Settled Techies
811,8222,Settled Techies
812,13290,Karens
813,49830,Fake Vegetarians
814,8199,Misers
815,47813,Petters
816,9479,Karens
817,11429,Gamer Parents
818,10472,Petters
819,31307,Gamer Parents
820,42882,Gamer Parents
821,21481,Fake Vegetarians
822,1023,Gamer Parents
823,12302,Local Folks
824,47462,Settled Techies
825,7008,Local Folks
826,30897,Millenials
827,11990,Karens
828,43534,Balanced Parents
829,42171,Gamer Parents
830,43119,Settled Techies
831,3540,Fake Vegetarians
832,4626,Petters
833,11823,Local Folks
834,43513,Petters
835,37869,Gamer Parents
836,28747,Misers
837,4501,Gamer Parents
838,45370,Misers
839,25463,Settled Techies
840,44866,Settled Techies
841,32531,Gamer Parents
842,2031,Karens
843,45336,Local Folks
844,11355,Petters
845,26243,Millenials
846,11566,Balanced Parents
847,17604,Misers
848,5932,Karens
849,7120,Fake Vegetarians
850,2647,Misers
851,8822,Fake Vegetarians
852,20218,Misers
853,19395,Petters
854,22070,Misers
855,33522,Gamer Parents
856,33903,Gamer Parents
857,35609,Millenials
858,24657,Fake Vegetarians
859,26646,Karens
860,49381,Petters
861,22329,Local Folks
862,33385,Local Folks
863,32171,Millenials
864,5943,Karens
865,22460,Millenials
866,23112,Gamer Parents
867,11175,Local Folks
868,5963,Gamer Parents
869,14922,Fake Vegetarians
870,4064,Settled Techies
871,11320,Misers
872,25003,Misers
873,9202,Misers
874,32812,Gamer Parents
875,14307,Misers
876,29399,Settled Techies
877,46356,Misers
878,22848,Misers
879,13118,Fake Vegetarians
880,14045,Petters
881,30790,Settled Techies
882,39300,Petters
883,30512,Petters
884,28903,Settled Techies
885,9924,Misers
886,41181,Settled Techies
887,13474,Karens
888,30138,Fake Vegetarians
889,8167,Karens
890,32340,Settled Techies
891,28085,Karens
892,2389,Local Folks
893,25154,Petters
894,6285,Settled Techies
895,15040,Gamer Parents
896,33488,Fake Vegetarians
897,17901,Petters
898,47032,Local Folks
899,19500,Petters
900,34416,Millenials
901,21250,Gamer Parents
902,1155,Petters
903,16217,Balanced Parents
904,36342,Millenials
905,10450,Settled Techies
906,40445,Karens
907,19986,Karens
908,29909,Local Folks
909,14747,Petters
910,10455,Fake Vegetarians
911,45325,Local Folks
912,27169,Misers
913,7206,Fake Vegetarians
914,45891,Settled Techies
915,15651,Misers
916,23321,Misers
917,31052,Local Folks
918,49782,Settled Techies
919,29825,Stingy Pescatarians
920,12576,Settled Techies
921,27730,Millenials
922,15715,Misers
923,29798,Misers
924,15600,Karens
925,48307,Gamer Parents
926,34514,Petters
927,7267,Local Folks
928,1099,Karens
929,3282,Fake Vegetarians
930,14062,Settled Techies
931,13441,Misers
932,3480,Karens
933,36488,Karens
934,20062,Misers
935,15705,Karens
936,36535,Misers
937,39951,Gamer Parents
938,6628,Settled Techies
939,10750,Fake Vegetarians
940,30328,Fake Vegetarians
941,22585,Gamer Parents
942,2634,Karens
943,39323,Fake Vegetarians
944,33872,Misers
945,1381,Misers
946,10510,Local Folks
947,18579,Misers
948,9196,Millenials
949,27227,Petters
950,45103,Karens
951,42384,Fake Vegetarians
952,36048,Fake Vegetarians
953,18589,Youngsters
954,12834,Karens
955,13277,Settled Techies
956,47520,Balanced Parents
957,737,Misers
958,23385,Millenials
959,2041,Misers
960,42657,Settled Techies
961,45410,Settled Techies
962,19130,Petters
963,12872,Youngsters
964,19679,Local Folks
965,28259,Balanced Parents
966,43658,Settled Techies
967,37725,Fake Vegetarians
968,26460,Fake Vegetarians
969,16403,Settled Techies
970,21042,Fake Vegetarians
971,47142,Karens
972,17049,Settled Techies
973,27494,Petters
974,28370,Gamer Parents
975,47481,Karens
976,2604,Gamer Parents
977,15344,Local Folks
978,17929,Karens
979,23873,Karens
980,27539,Balanced Parents
981,47321,Gamer Parents
982,32165,Millenials
983,10888,Fake Vegetarians
984,1447,Petters
985,28228,Fake Vegetarians
986,16151,Settled Techies
987,23951,Settled Techies
988,12139,Local Folks
989,7279,Gamer Parents
990,32707,Misers
991,44452,Petters
992,10104,Petters
993,4508,Balanced Parents
994,2147,Fake Vegetarians
995,40522,Petters
996,39396,Gamer Parents
997,37164,Settled Techies
998,20243,Fake Vegetarians
999,44086,Local Folks
1000,287,Fake Vegetarians
1001,2167,Karens
1002,22758,Misers
1003,45233,Local Folks
1004,27280,Fake Vegetarians
1005,39052,Fake Vegetarians
1006,41285,Settled Techies
1007,12035,Fake Vegetarians
1008,12048,Settled Techies
1009,22232,Local Folks
1010,24623,Misers
1011,24849,Karens
1012,29165,Gamer Parents
1013,2469,Local Folks
1014,20283,Karens
1015,34474,Misers
1016,37738,Settled Techies
1017,19647,Millenials
1018,20933,Local Folks
1019,18596,Youngsters
1020,30687,Local Folks
1021,28392,Petters
1022,10921,Misers
1023,40685,Gamer Parents
1024,30657,Misers
1025,29754,Gamer Parents
1026,48012,Settled Techies
1027,8003,Balanced Parents
1028,43998,Balanced Parents
1029,28504,Fake Vegetarians
1030,23041,Settled Techies
1031,27944,Settled Techies
1032,38580,Gamer Parents
1033,34450,Fake Vegetarians
1034,12376,Gamer Parents
1035,24170,Karens
1036,3068,Misers
1037,44668,Youngsters
1038,37409,Misers
1039,977,Karens
1040,27491,Balanced Parents
1041,41550,Balanced Parents
1042,17358,Gamer Parents
1043,43570,Millenials
1044,25124,Misers
1045,28246,Karens
1046,26926,Millenials
1047,38163,Gamer Parents
1048,8192,Misers
1049,7670,Misers
1050,7772,Gamer Parents
1051,28409,Karens
1052,30016,Karens
1053,46730,Misers
1054,29305,Misers
1055,6390,Karens
1056,29406,Petters
1057,39540,Gamer Parents
1058,6552,Youngsters
1059,42668,Karens
1060,22162,Balanced Parents
1061,14996,Settled Techies
1062,3547,Local Folks
1063,6625,Youngsters
1064,9270,Petters
1065,8017,Settled Techies
1066,40654,Fake Vegetarians
1067,25794,Petters
1068,19789,Fake Vegetarians
1069,9854,Karens
1070,9104,Petters
1071,5186,Gamer Parents
1072,45016,Karens
1073,2712,Fake Vegetarians
1074,1247,Settled Techies
1075,26147,Karens
1076,11066,Karens
1077,6432,Petters
1078,47881,Settled Techies
1079,24418,Karens
1080,2574,Petters
1081,5945,Gamer Parents
1082,15901,Local Folks
1083,25206,Karens
1084,4456,Misers
1085,41254,Fake Vegetarians
1086,35586,Gamer Parents
1087,45782,Karens
1088,46657,Millenials
1089,43317,Misers
1090,12803,Millenials
1091,19944,Settled Techies
1092,7512,Balanced Parents
1093,16603,Fake Vegetarians
1094,49786,Fake Vegetarians
1095,30024,Fake Vegetarians
1096,6977,Gamer Parents
1097,15493,Balanced Parents
1098,14527,Fake Vegetarians
1099,25699,Millenials
1100,34807,Gamer Parents
1101,12865,Karens
1102,15896,Petters
1103,43960,Youngsters
1104,21139,Local Folks
1105,10634,Fake Vegetarians
1106,12451,Millenials
1107,8355,Gamer Parents
1108,10409,Fake Vegetarians
1109,33986,Petters
1110,26588,Fake Vegetarians
1111,40527,Millenials
1112,7581,Fake Vegetarians
1113,38543,Petters
1114,16020,Youngsters
1115,32513,Settled Techies
1116,3055,Karens
1117,42495,Youngsters
1118,1263,Gamer Parents
1119,35433,Local Folks
1120,33624,Fake Vegetarians
1121,2998,Misers
1122,36512,Misers
1123,1092,Gamer Parents
1124,19635,Settled Techies
1125,62,Fake Vegetarians
1126,22196,Petters
1127,35666,Balanced Parents
1128,20287,Petters
1129,14221,Petters
1130,44184,Gamer Parents
1131,5954,Local Folks
1132,35946,Local Folks
1133,39830,Misers
1134,24680,Settled Techies
1135,26737,Millenials
1136,21884,Petters
1137,24335,Gamer Parents
1138,11443,Balanced Parents
1139,23866,Balanced Parents
1140,7466,Gamer Parents
1141,15446,Gamer Parents
1142,30116,Local Folks
1143,15197,Gamer Parents
1144,32683,Local Folks
1145,49055,Settled Techies
1146,31128,Petters
1147,4455,Karens
1148,45228,Fake Vegetarians
1149,31563,Karens
1150,39003,Settled Techies
1151,39573,Settled Techies
1152,44035,Misers
1153,26455,Gamer Parents
1154,1031,Karens
1155,22949,Local Folks
1156,7049,Gamer Parents
1157,35233,Balanced Parents
1158,8303,Youngsters
1159,29053,Balanced Parents
1160,34699,Settled Techies
1161,48976,Settled Techies
1162,42719,Millenials
1163,33489,Balanced Parents
1164,40643,Fake Vegetarians
1165,32553,Petters
1166,12473,Misers
1167,8119,Karens
1168,9531,Local Folks
1169,26567,Karens
1170,13872,Fake Vegetarians
1171,21845,Karens
1172,35534,Misers
1173,16721,Fake Vegetarians
1174,40613,Gamer Parents
1175,11281,Gamer Parents
1176,7312,Settled Techies
1177,40016,Gamer Parents
1178,20379,Misers
1179,15893,Millenials
1180,45629,Settled Techies
1181,19450,Karens
1182,4210,Balanced Parents
1183,42457,Petters
1184,31097,Settled Techies
1185,19644,Settled Techies
1186,6410,Balanced Parents
1187,48241,Petters
1188,38863,Petters
1189,33795,Local Folks
1190,12120,Gamer Parents
1191,16166,Balanced Parents
1192,42580,Local Folks
1193,16212,Petters
1194,7967,Local Folks
1195,27362,Fake Vegetarians
1196,637,Stingy Pescatarians
1197,34753,Settled Techies
1198,16654,Petters
1199,524,Settled Techies
1200,25915,Settled Techies
1201,34993,Misers
1202,21021,Karens
1203,16620,Youngsters
1204,23776,Settled Techies
1205,10515,Local Folks
1206,6501,Karens
1207,7953,Settled Techies
1208,42439,Gamer Parents
1209,45908,Fake Vegetarians
1210,35898,Millenials
1211,49873,Fake Vegetarians
1212,21877,Fake Vegetarians
